Lap	Lewis Hamilton	Nico Rosberg	Sebastian Vettel	Kimi Raikoennen	Valteri Bottas	Felipe Massa	Nico Huelkenberg	Sergio Perez
1	29.461	30.427	30.686	31.137	30.843	31.000	31.793	31.340
2	27.548	28.465	28.448	29.785	28.363	29.068	29.695	29.522
3	27.566	30.343	29.017	28.871	29.473	29.121	28.959	28.790
4	27.568	28.249	27.979	28.810	28.425	28.802	28.809	28.616
5	27.552	28.864	30.196	28.522	28.801	28.516	28.441	28.634
6	27.516	27.791	27.824	28.229	28.091	28.304	28.541	28.436
7	27.648	29.701	29.597	28.670	29.468	28.721	28.310	28.558
8	27.433	27.933	28.100	28.514	28.011	28.513	28.504	28.782
9	27.512	28.137	28.816	28.631	28.029	28.411	28.645	28.331
10	27.577	28.273	28.565	28.342	28.421	28.569	28.580	28.727
11	27.460	27.262	28.326	28.583	28.377	28.694	28.263	28.435
12	27.432	27.547	28.508	28.478	28.073	28.019	28.472	28.086
13	27.300	27.404	27.794	28.368	28.215	28.342	28.656	28.243
14	27.931	27.587	28.266	28.107	27.987	28.322	28.288	28.198
15	27.745	27.514	27.854	28.214	28.181	28.659	28.341	28.626
16	27.395	27.844	27.553	28.315	28.418	27.967	27.795	28.349
17	27.638	27.675	27.800	28.987	28.436	28.215	29.059	28.822
18	27.804	27.611	27.719	27.814	27.942	28.588	28.462	27.888
19	27.651	27.827	27.959	27.956	29.042	28.212	27.794	28.224
20	27.567	27.368	27.431	28.341	28.812	28.163	27.688	27.984
21	27.660	27.491	27.318	28.375	28.499	28.135	28.356	28.841
22	27.953	31.211	28.976	32.090	31.019	32.287	43.546	31.477
23	29.456	27.493	27.454	28.004	27.853	28.421	27.932	28.418
24	27.378	26.945	28.673	28.880	28.135	28.467	27.898	29.153
25	27.843	27.401	28.005	28.318	28.128	28.345	27.794	28.157
26	28.225	27.681	27.418	27.819	28.051	27.908	27.940	27.803
27	28.076	27.957	28.068	28.941	27.597	27.932	27.976	27.982
28	28.156	28.077	27.880	28.002	28.076	28.073	28.241	28.037
29	27.345	27.672	27.725	27.823	28.018	28.130	29.276	31.690
30	33.665	27.500	27.736	27.498	28.399	27.884	27.918	28.045
31	27.547	27.418	27.217	27.482	28.256	27.477	27.619	27.617
32	27.108	27.520	27.851	27.471	27.885	27.466	27.714	28.188
33	27.169	27.319	27.399	27.352	27.575	28.626	27.989	28.457
34	27.759	27.728	27.337	28.234	28.245	28.075	27.408	28.233
35	27.335	27.598	27.248	27.891	28.700	28.013	28.050	27.770
36	27.330	28.125	27.412	28.524	27.923	28.467	27.299	28.170
37	27.061	27.312	27.277	30.216	28.205	29.832	27.414	28.194
38	28.757	27.539	27.864	28.580	28.023	29.271	27.638	27.786
39	27.782	27.567	27.745	28.256	29.161	29.186	27.774	28.096
40	27.305	27.852	27.528	27.314	27.947	29.097	27.585	29.367
41	27.223	27.492	27.435	27.656	28.176	28.540	27.042	27.933
42	27.083	27.619	27.856	27.851	28.036	28.518	27.629	28.828
43	27.208	28.889	27.825	28.020	28.541	28.179	28.181	28.123
44	27.472	28.078	27.712	27.779	28.329	28.317	28.864	29.502
45	27.206	28.589	27.816	27.301	29.106	28.422	28.201	27.499
46	27.323	27.151	27.690	28.043	28.834	29.019	28.193	28.986
47	27.191	27.750	28.212	27.747	28.004	27.745	28.269	28.213
48	27.232	27.857	28.291	28.021	27.953	27.726	27.732	29.427
49	27.533	27.087	27.926	27.587	28.044	27.803	27.661	27.867
50	27.359	27.876	28.120	28.095	27.795	27.832	27.639	28.580
51	27.203	27.347	28.130	27.265	28.086	28.053	27.644	28.039
52	27.173	27.783	27.473	27.753	28.345	28.383	27.871	28.268
